,TAXI_OUT,TAXI_OUT,TAXI_OUT,TAXI_OUT,TAXI_OUT,TAXI_OUT,TAXI_OUT,TAXI_OUT
,count,mean,std,min,25%,50%,75%,max
DEST,,,,,,,,
ABQ,58.0,22.620689655172413,8.243716557107371,11.0,15.0,21.0,29.0,41.0
ATL,795.0,19.272955974842766,6.881487646837399,7.0,14.0,18.0,23.0,41.0
AUS,485.0,19.22680412371134,6.192345906288138,9.0,15.0,18.0,23.0,41.0
BNA,366.0,19.702185792349727,7.110967460403745,7.0,15.0,19.0,24.0,41.0
BOS,1243.0,20.218825422365246,6.37189376726051,9.0,16.0,19.0,24.0,41.0
BQN,123.0,18.54471544715447,6.37393775466416,11.0,15.0,17.0,20.0,41.0
BTV,481.0,19.386694386694387,6.106703086921992,9.0,15.0,18.0,22.0,41.0
BUF,869.0,19.66168009205984,6.573804139208487,7.0,15.0,18.0,23.0,41.0
BUR,134.0,19.171641791044777,6.399631238674798,10.0,15.0,17.5,23.0,39.0
BWI,383.0,19.558746736292427,6.630176175755321,7.0,15.0,19.0,23.5,40.0
CHS,373.0,19.962466487935657,6.441105088437748,8.0,15.0,19.0,24.0,40.0
CLE,317.0,21.61198738170347,7.020601341032953,8.0,16.0,21.0,25.0,41.0
CLT,792.0,19.88510101010101,6.452838161907237,8.0,15.0,18.0,23.0,41.0
CMH,310.0,20.6,7.105857012598491,8.0,15.0,20.0,25.0,41.0
CVG,198.0,18.59090909090909,6.696413024351829,7.0,13.25,17.0,23.0,40.0
DCA,568.0,20.862676056338028,6.179742854703147,8.0,16.0,20.0,24.0,41.0
DEN,263.0,22.425855513307983,7.322532458967437,9.0,17.0,21.0,28.0,41.0
DFW,381.0,20.606299212598426,7.186783352261392,9.0,15.0,19.0,24.0,41.0
DTW,340.0,21.458823529411763,7.024278068787234,8.0,16.0,20.0,25.25,41.0
EGE,44.0,18.272727272727273,4.566631430448978,12.0,15.0,17.0,20.25,30.0
FLL,1008.0,21.680555555555557,7.16600845302648,8.0,16.0,20.0,26.0,41.0
HNL,102.0,20.30392156862745,6.523057680163354,10.0,16.0,19.0,22.75,41.0
IAD,281.0,20.177935943060497,7.043006461034078,7.0,15.0,18.0,25.0,41.0
IAH,256.0,19.48828125,6.522349162912177,10.0,15.0,18.0,23.0,41.0
IND,266.0,20.082706766917294,6.976559256600613,8.0,15.0,19.0,24.0,41.0
JAC,5.0,21.6,5.128352561983234,16.0,18.0,21.0,24.0,29.0
JAX,491.0,20.918533604887983,7.175460071176766,6.0,15.5,19.0,25.0,41.0
LAS,743.0,20.858681022880216,6.955592826878139,9.0,16.0,19.0,25.0,41.0
LAX,2974.0,21.188298587760592,6.7484859656873954,5.0,16.0,20.0,25.0,41.0
LGB,164.0,18.24390243902439,6.60370034883261,10.0,14.0,16.0,21.0,41.0
MCO,947.0,19.995776135163673,6.584784747729651,8.0,15.0,19.0,23.0,41.0
MIA,881.0,22.12145289443814,6.473021331605997,7.0,17.0,21.0,26.0,41.0
MSP,328.0,22.329268292682926,7.071162746128331,7.0,17.0,21.0,27.0,40.0
MSY,395.0,18.734177215189874,7.04933459933547,7.0,13.0,17.0,23.0,41.0
OAK,61.0,22.60655737704918,6.778098771102386,10.0,17.0,23.0,26.0,39.0
ONT,79.0,19.734177215189874,6.826999304720463,10.0,15.0,17.0,24.0,39.0
ORD,610.0,21.92622950819672,7.139436985693694,9.0,17.0,20.0,26.0,41.0
ORF,404.0,22.89108910891089,6.7034319421811315,9.0,18.0,22.0,27.0,41.0
ORH,90.0,18.677777777777777,5.602623337747164,9.0,15.0,17.0,22.0,36.0
PBI,488.0,19.934426229508198,6.265498506798528,9.0,15.0,19.0,23.25,41.0
PDX,260.0,23.93846153846154,6.728896765299025,9.0,19.0,23.0,28.0,41.0
PHL,48.0,23.25,7.834729014037706,12.0,17.0,22.0,27.0,41.0
PHX,670.0,21.367164179104478,6.521400623072265,8.0,17.0,20.0,25.0,41.0
PIT,345.0,21.86376811594203,6.968491608297357,10.0,17.0,21.0,26.0,41.0
PSE,78.0,21.487179487179485,7.319682751168631,11.0,16.0,20.0,25.75,40.0
PSP,65.0,20.338461538461537,6.73905808300788,11.0,15.0,19.0,23.0,41.0
PWM,174.0,22.166666666666668,6.9781519766793485,7.0,17.0,21.0,27.0,41.0
RDU,762.0,20.73490813648294,6.778691535035434,9.0,16.0,19.0,25.0,41.0
RIC,331.0,22.145015105740182,7.116996147704296,9.0,17.0,21.0,26.5,41.0
RNO,47.0,22.70212765957447,6.826785141972253,10.0,17.5,22.0,27.0,40.0
ROC,514.0,20.817120622568094,6.631017159841753,9.0,16.0,20.0,24.0,41.0
RSW,305.0,19.42295081967213,6.337658786618262,9.0,15.0,18.0,22.0,41.0
SAN,417.0,21.633093525179856,6.940485897517253,9.0,16.0,20.0,26.0,41.0
SAT,160.0,18.86875,6.5041079181791535,9.0,15.0,17.0,22.0,39.0
SAV,347.0,19.59077809798271,6.600028571035011,8.0,15.0,18.0,23.0,41.0
SEA,674.0,23.405044510385757,6.926318097682873,8.0,18.0,22.5,28.0,41.0
SFO,1678.0,21.93087008343266,6.799539644247251,8.0,17.0,21.0,26.0,41.0
SJC,192.0,23.651041666666668,7.731630752467143,9.0,18.0,23.5,29.0,41.0
SJU,796.0,21.05276381909548,7.026972644955539,9.0,15.75,20.0,25.0,41.0
SLC,559.0,21.56350626118068,6.909488505793976,9.0,17.0,20.0,26.0,41.0
SMF,82.0,18.878048780487806,5.774337103533652,11.0,15.0,18.0,22.0,38.0
SRQ,105.0,19.895238095238096,6.139286806367861,10.0,15.0,19.0,24.0,38.0
STT,62.0,26.661290322580644,7.539934226758164,14.0,21.0,27.0,33.5,40.0
SYR,389.0,20.93573264781491,6.678051701377935,9.0,16.0,20.0,25.0,41.0
TPA,664.0,19.992469879518072,6.836262369277174,8.0,15.0,19.0,24.0,41.0
